1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
1168293463 c399 I-O error, dev x:x (hda), sector x
