1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798414 c880 I-O error, dev x:x (hda), sector x
1168798415 c880 I-O error, dev x:x (hda), sector x
1168798415 c880 I-O error, dev x:x (hda), sector x
1168798415 c880 I-O error, dev x:x (hda), sector x
1168798415 c880 I-O error, dev x:x (hda), sector x
1168798415 c880 I-O error, dev x:x (hda), sector x
1168798415 c880 I-O error, dev x:x (hda), sector x
1168798415 c880 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798505 c860 I-O error, dev x:x (hda), sector x
1168798506 c860 I-O error, dev x:x (hda), sector x
1168798506 c860 I-O error, dev x:x (hda), sector x
1168798506 c860 I-O error, dev x:x (hda), sector x
1168798506 c860 I-O error, dev x:x (hda), sector x
1168798506 c860 I-O error, dev x:x (hda), sector x
1168798506 c860 I-O error, dev x:x (hda), sector x
1168798506 c860 I-O error, dev x:x (hda), sector x
1168798506 c860 I-O error, dev x:x (hda), sector x
1168798506 c860 I-O error, dev x:x (hda), sector x
