Total Length of Bwd Packet,Flow Bytes/s,Total TCP Flow Time,Total Fwd Packet,Fwd IAT Std,Bwd Packet Length Std,Flow Duration,Average Packet Size
3776.0,5101.08388778109,810416,9,97319.4508847024,663.3397463198019,810416,258.375
250.0,5090.769378541927,0,2,0.0,0.0,62466,79.5
169.0,5.4331707063174965,189551708,8,21683150.055538893,22.578012903412617,62210451,24.142857142857142
94.0,224137.93103448275,0,2,0.0,0.0,696,39.0
326.0,4302083.333333333,0,2,0.0,0.0,192,206.5
102.0,924731.182795699,0,2,0.0,0.0,186,43.0
4861.0,14824.82608331238,381792,17,48704.42480514476,640.3123385575909,381792,202.14285714285717
858.0,17885.752168388488,72404,5,13037.050458852518,383.7092649389639,72404,129.5
3710.0,733.5291688413349,5562151,9,1833388.0339187367,664.139543569974,5562151,255.0
48.0,4302.038987228321,0,1,0.0,0.0,22315,48.0
137.0,2455.533219674801,0,1,0.0,0.0,78598,96.5
4032.0,24189.473884901003,209802,11,25379.15782159316,614.3179725749292,209802,267.10526315789474
7580.0,69.61908973734666,118071064,15,21367744.91956201,704.8484522642727,118071064,283.4482758620689
0.0,0.0,1293577283,2,0.0,0.0,64096477,0.0
4653.0,48.42416649457722,117792425,15,21213470.247521687,520.1077709538606,117792425,196.68965517241375
142.0,1454.3116513326086,0,1,0.0,0.0,130646,95.0
202.0,11794.721652934042,0,2,0.0,0.0,23909,70.5
152.0,1314009.661835749,0,2,0.0,0.0,207,68.0
484.0,2323651.4522821577,0,2,0.0,0.0,241,140.0
110.0,1182389.9371069183,0,2,0.0,0.0,159,47.0
186495.0,2462.6117943266763,77344712,91,2731377.445910511,985.8283133439936,77344712,942.920792079208
102.0,2450.818043319865,0,1,0.0,0.0,60388,74.0
97.0,190981.4323607427,0,1,0.0,0.0,754,72.0
284.0,2088888.8888888888,0,2,0.0,0.0,180,94.0
26972.0,15998.907869331404,1736056,26,85774.85496455242,897.0339699996503,1736056,544.6078431372549
5085.0,52.55366827202832,117384765,15,21251410.589878168,512.5671706182561,117384765,212.72413793103448
312.0,15328.057822917315,0,4,17871.300232495676,0.0,32098,82.0
7737.0,77.87483487156875,115300405,26,4967969.561756099,557.9603064352448,115300405,183.24489795918367
5224.0,249.5385058973039,24978109,13,3902036.656631705,630.1880142729893,24978109,271.0
136.0,1181818.181818182,0,2,0.0,0.0,176,52.0
2196.0,126.61616936690248,237528346,29,4568410.983380413,121.75865456087428,115127476,280.3269230769231
116.0,5419.523343127653,0,1,0.0,0.0,30630,83.0
130.0,1245901.6393442622,0,2,0.0,0.0,183,57.0
99.0,2787.896810646049,0,1,0.0,0.0,53804,75.0
226.0,9232.18451227125,0,1,0.0,0.0,30437,140.5
222.0,13072.976998179713,0,1,0.0,0.0,24172,158.0
240944.0,5261.662908534184,46858380,112,1961076.0991801664,410.4462793845002,46858380,838.6156462585034
3637.0,2548.8023660161034,1979361,9,270194.8293400986,563.3731987866579,1979361,280.27777777777777
158.0,1353658.536585366,0,2,0.0,0.0,164,55.5
73882.0,654.6738202967439,116089872,44,4417082.309153641,753.1150910228397,116089872,690.9181818181818
568.0,2496000.0,0,2,0.0,0.0,250,156.0
238.0,231.36223347754532,0,6,444294.70937824587,0.0,1754824,50.75
4218.0,923.6415262658109,5355974,10,1646433.0172917838,584.2968803993775,5355974,247.35
4005.0,4541.26041616471,1120614,13,106921.71492378162,606.28301222209,1120614,212.04166666666663
241805.0,3962.02543451838,62721455,124,5256710.688430176,585.7995682055507,62721455,739.5952380952381
15841.0,177.1450722640708,115391299,30,4898820.757814295,749.1485841537719,115391299,358.6140350877193
102.0,858.297338720914,0,1,0.0,0.0,179425,77.0
200.0,1702857.142857143,0,2,0.0,0.0,175,74.5
122.0,332737.03041144897,0,1,0.0,0.0,559,93.0
118.0,766917.2932330826,0,2,0.0,0.0,266,51.0
254.0,1244444.4444444445,0,2,0.0,0.0,270,84.0
71.0,689.8213034337771,0,1,0.0,0.0,182656,63.0
380.0,18760.46901172529,0,2,0.0,0.0,23880,112.0
4935.0,86.28193858095285,65726386,18,4896304.982722265,558.1976096585969,65726386,171.84848484848484
0.0,0.0,14336763,1,0.0,0.0,14336763,0.0
102.0,1109677.4193548388,0,2,0.0,0.0,155,43.0
0.0,0.0,120137558,1,0.0,0.0,80,0.0
14310.0,465.6609081473253,32057662,11,7311871.85831662,1283.6454693212963,32057662,678.5454545454545
290.0,5310.750681785561,0,2,0.0,0.0,69670,92.5
254.0,1686274.5098039217,0,2,0.0,0.0,204,86.0
125.0,267.564424004621,0,1,0.0,0.0,635361,85.0
94917.0,810.0745778294813,118112582,48,11979739.678115802,493.0139597006002,118112582,790.7438016528926
263.0,11895.491528154453,223446,7,18373.04446646409,117.61717561648894,223446,221.5
108.0,1373134.328358209,0,2,0.0,0.0,134,46.0
280.0,1841269.8412698407,0,2,0.0,0.0,189,87.0
166.0,1439024.3902439023,0,2,0.0,0.0,164,59.0
250.0,10902.170757668611,0,2,0.0,0.0,31003,84.5
63.0,4727.929167024843,0,1,0.0,0.0,23266,55.0
9629.0,95.26862461342208,115473484,26,4980327.009854238,592.6832121799977,115473484,215.7058823529412
250.0,10165.265479653486,0,2,0.0,0.0,31283,79.5
737.0,23082.68564472329,106790,8,14704.248359216592,210.5134313099873,106790,164.33333333333334
3776.0,6409.988045232745,644931,8,73953.36513641552,663.3397463198019,644931,275.6
154.0,4175.200882306602,0,2,0.0,0.0,50776,53.0
126.0,1240506.3291139242,0,2,0.0,0.0,158,49.0
20016.0,660.016346302633,31634065,22,6860509.186172776,1079.5204886337808,31634065,509.2439024390244
147.0,66.79561291021,6946564,8,2038978.907740156,33.77721125255903,6946564,25.77777777777778
154.0,1349112.4260355032,0,2,0.0,0.0,169,57.0
162.0,1556962.025316456,0,2,0.0,0.0,158,61.5
4035.0,18009.194167548696,253204,14,24504.08153809567,562.3621285580704,253204,182.4
260.0,1711340.206185567,0,2,0.0,0.0,194,83.0
0.0,0.0,120254743,2,0.0,0.0,32205,0.0
2.0,0.1110201744861894,340849638,10,15007055.002328563,0.4216370213557839,90073719,0.5
74.0,3926.059218059873,0,1,0.0,0.0,30565,60.0
126.0,6067.451992899791,0,2,0.0,0.0,30985,47.0
8080.0,4435.648835984739,3065166,16,515384.7873447566,946.906774482282,3065166,453.2
