1689276646776,Room_B,37
1689276646777,Room_A,35
1689276646777,Room_A,38
1689276646777,Floor_1,35
1689276646779,Floor_1,38
1689276646779,Room_A,35
1689276646779,Floor_1,36
1689276646779,Room_C,35
1689276646780,Floor_2,37
1689276646780,Floor_1,39
1689276646780,Floor_2,37
1689276646780,Room_B,36
1689276646780,Floor_1,35
1689276646780,Room_B,39
1689276657123,Room_A,36
1689276657774,Room_A,36
1689276658128,Room_B,38
1689276659133,Floor_2,35
1689276659784,Room_C,38
1689276660138,Room_A,35
1689276670839,Room_A,38
1689276671849,Floor_1,36
1689276680228,Room_A,35
1689276682236,Room_B,35
1689276683909,Room_C,36
1689276684246,Floor_1,39
1689276685918,Room_C,35
1689276690273,Floor_1,35
1689276691954,Floor_2,35
1689276696301,Floor_2,35
1689276702028,Room_C,35
1689276704037,Floor_2,37
1689276704343,Room_B,39
1689276708367,Room_C,36
1689276710081,Room_B,36
1689276711085,Room_C,38
1689276713100,Floor_2,35
1689276716124,Floor_2,38
1689276718139,Room_A,35
1689276718436,Room_C,37
1689276721156,Floor_2,37
1689276725180,Room_C,35
1689276726473,Room_C,38
1689276731214,Room_A,39
1689276732217,Floor_2,37
1689276732502,Room_B,37
1689276733224,Room_A,35
1689276733509,Floor_2,36
